timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2017-11-22,0.99964798,0.99999245,0.99958533,0.99994469,0.99964798,0.99999245,0.99958533,0.99994469,30432991.35208728,30431308.17186375
2017-11-21,0.99961397,0.99986883,0.99863250,0.99964773,0.99961397,0.99986883,0.99863250,0.99964773,36836485.36794334,36823509.06557404
2017-11-20,0.99963483,0.99993933,0.99531317,0.99951291,0.99963483,0.99993933,0.99531317,0.99951291,16064818.07516803,16056992.99585404
2017-11-19,0.99995408,1.00009380,0.99940307,0.99943167,0.99995408,1.00009380,0.99940307,0.99943167,14981602.82990827,14973088.29319850
2017-11-18,1.00000643,1.00031406,0.99970139,0.99993396,1.00000643,1.00031406,0.99970139,0.99993396,26113049.42054721,26111324.82878382
2017-11-17,0.99952334,1.00009786,0.99948169,1.00000846,0.99952334,1.00009786,0.99948169,1.00000846,19604977.52118065,19605143.41351365
2017-11-16,1.00006855,1.00009684,0.99967693,0.99968795,1.00006855,1.00009684,0.99967693,0.99968795,39847582.79200195,39835148.34213630
2017-11-15,1.00017203,1.00045458,1.00005944,1.00006145,1.00017203,1.00045458,1.00005944,1.00006145,18398546.07233144,18399676.66880822
2017-11-14,1.00019808,1.00038145,1.00009603,1.00016927,1.00019808,1.00038145,1.00009603,1.00016927,16696057.97453313,16698884.13272500
2017-11-13,1.00065800,1.00065800,1.00008850,1.00008960,1.00065800,1.00065800,1.00008850,1.00008960,32470433.67366350,32473342.90177056
2017-11-12,1.00020654,1.00181139,1.00011308,1.00065930,1.00020654,1.00181139,1.00011308,1.00065930,8136418.24051362,8141782.55813489
2017-11-11,1.00009259,1.00049975,1.00000284,1.00021033,1.00009259,1.00049975,1.00000284,1.00021033,24329219.64868660,24334336.88144062
2017-11-10,1.00019306,1.00033576,0.99997288,1.00007017,1.00019306,1.00033576,0.99997288,1.00007017,48611700.92913611,48615112.24087251
2017-11-09,1.00027051,1.00029323,1.00003043,1.00016608,1.00027051,1.00029323,1.00003043,1.00016608,26109658.02656318,26113994.26877788
2017-11-08,1.00011304,1.00036004,1.00004818,1.00027045,1.00011304,1.00036004,1.00004818,1.00027045,23365767.10131467,23372086.42579429
2017-11-07,1.00016332,1.00033160,1.00003855,1.00010086,1.00016332,1.00033160,1.00003855,1.00010086,12771471.53243504,12772759.63352290
2017-11-06,1.00017987,1.00320258,0.99997989,1.00016344,1.00017987,1.00320258,0.99997989,1.00016344,15351896.12280623,15354405.20354006
2017-11-05,1.00013957,1.00060432,1.00000285,1.00021752,1.00013957,1.00060432,1.00000285,1.00021752,5288323.31687731,5289473.64800952
